CID,BW,Format,Vendor,VCID,A End,Z End,Note
LAX/CTUSA-SJC/CTUSA 64V4C001(W),10,STM64,Level 3,BBDJ3657,"San Jose, CA","Los Angeles, CA",
LAX/CTUSA-SJC/CTUSA 64V4C001(P),10,STM64,Level 3,BBDJ3658,"San Jose, CA","Los Angeles, CA",
NYC/CTUSA-WDC/CTUSA 64V4C001(W),10,STM64,Level 3,BBDN5475,"New York, NY","McLean, VA",
MIA/CTUSA-SJC/CTUSA  64V4C001(W),10,STM64,Level 3,BBDN5795,"San Jose, CA","Miami, FL",
MIA/CTUSA-SJC/CTUSA  64V4C001(P),10,STM64,Level 3,BBDP1192,"San Jose, CA","Miami, FL",
MIA/CTUSA-WDC/CTUSA 64V4C001(W),10,STM64,Level 3,BBDN6181,Washington D.C.,"Miami, FL",
NYC/CTUSA-WDC/CTUSA 64V4C001(P),10,STM64,Level 3,BBGP8968,"New York, NY",Washington D.C,
MIA/CTUSA-WDC/CTUSA 64V4C001(P),10,STM64,Level 3,BBFP5069,Washington D.C.,"Miami, FL",
SJC/CTUSA-SEA/CTUSA 64V4C002(P),10,STM64,Zayo,OQYX/141836//ZYO,"Seattle, WA","San Jose, CA",
SJC/CTUSA-NYC/CTUSA 64V4C001(W),10,STM64,Level 3,BBXM1479,"San Jose, CA","New York, NY",
NYC/CTUSA-WDC/CTUSA 64V4C002(W),10,STM64,Level 3,BBXM1480,"New York, NY","Ashburn, VA",
LAX/CTUSA-MIA/CTUSA 64V4C001(W),10,STM64,Level 3,BBXM1481,"Miami, FL","Los Angeles, CA",
LAX/CTUSA-SJC/CTUSA 64V4C003(W),10,STM64,Level 3,BBXM1482,"Los Angeles, CA","San Jose, CA",
LAX/CTUSA-MIA/CTUSA 64V4C001(P),10,STM64,Level 3,BBXM1483,"Miami, FL","Los Angeles, CA",
LAX/CTUSA-WDC/CTUSA 64V4C001(W),10,STM64,Level 3,BBXM1484,"Los Angeles, CA","Ashburn, VA",
LAX/CTUSA-SJC/CTUSA 64V4C003(P),10,STM64,Level 3,BBXM1485,"Los Angeles, CA","San Jose, CA",
SJC/CTUSA-SEA/CTUSA 64V4C002(W),10,STM64,Level 3,BBXM1486,"Seattle, WA","San Jose, CA",
SJC/CTUSA-NYC/CTUSA 64V4C001(P),10,STM64,Level 3,BBXM1487,"San Jose, CA","New York, NY",
NYC/CTUSA-WDC/CTUSA 64V4C002(P),10,STM64,Zayo,OQYX/156264,"New York, NY","Ashburn, VA",WDC-NYC OTN100G-2(IOTNhw)
LAX/CTUSA-WDC/CTUSA 64V4C001(P),10,STM64,Level 3,BBXM1489,"Los Angeles, CA","Ashburn, VA",
BEI/CT-LAX/CT 64V4C008*IP,10,STM64,Centurylink,OC192-16611385,"Hill, OR","Los Angeles, CA",
CHM/CT-LAX/CT 64V4C023*TD,10,STM64,Centurylink,OC192-16611386,"Hill, OR","Los Angeles, CA",
SHI/CT-SJC/CT 64V4C018*CN2,10,STM64,Centurylink,OC192-16611382,"Hill, OR","San Jose, CA",
BEI/CT-LAX/CTUSA NP14,10,STM64,Centurylink,OC192-16611383,"Hill, OR","Los Angeles, CA",
Hilsboro/CTUSA-SJC/CTUSA 64V4C002,10,STM64,Centurylink,OC192-16611381,"Hill, OR","San Jose, CA",
BEI/CT-LAX/CT 64V4C009*IP,10,STM64,Centurylink,OC192-16611384,"Hill, OR","Los Angeles, CA",
BEI/CT-SJC/CT 64V4C009*IP ,10,STM64,Level 3,BBHW9898,"Hill, OR","San Jose, CA",
BEI/CT-SJC/CTUSA NP001,10,STM64,Level 3,BBHW9899,"Hill, OR","San Jose, CA",
SHI/CT-SJC/CT 64V4C024*IP,10,STM64,Level 3,BBHW9900,"Hill, OR","San Jose, CA",
BEI/CT-LAX/CTUSA 64V4C002*IP,10,STM64,Level 3,BBHW9901,"Hill, OR","Los Angeles, CA",
LAX/CT-SHI/CT 64V4C004*IP,10,STM64,Level 3,BBHW9907,"Hill, OR","Los Angeles, CA",
GZU/CT-SJC/CT 64V4C032*IP,10,STM64,Level 3,BBHW9910,"Hill, OR","Los Angeles, CA",
QDA/CT-SJC/CT 64V4C001,10,STM64,Level 3,BBMG8971,"Hill, OR","San Jose, CA",
HKG/CTHK-SEA/CTUSA 64V40001,10,STM64,Level 3,BBMY1440,"Hill, OR","SEA, WA",
CHM/CT-LAX/CT 64V4C006,10,STM64,Level 3,BBWG6275,"Los Angeles, CA","Menchester, CA",
CHM/CT-SJC/CT 64V4C005,10,STM64,Level 3,BBWG6278,"San Jose, CA","Menchester, CA",
NANHUI/CT-SJC/CT 64V4C001,10,STM64,Level 3,BBWG6284,"San Jose, CA","Los Osos, CA",
NANHUI/CT-SJC/CT 64V4C002,10,STM64,Level 3,BBWG6290,"San Jose, CA","Los Osos, CA",
NANHUI/CT-SJC/CT 64V4C003,10,STM64,Level 3,BBWG6291,"San Jose, CA","Los Osos, CA",
NANHUI/CT-LAX/CT 64V4C001,10,STM64,Level 3,BBWG6286,"Los Angeles, CA","Los Osos, CA",
NANHUI/CT-LAX/CT 64V4C002,10,STM64,Level 3,BBWG6288,"Los Angeles, CA","Los Osos, CA",
NANHUI/CT-LAX/CT 64V4C003,10,STM64,Level 3,BBWG6289,"Los Angeles, CA","Los Osos, CA",
SHT/CT-LAX/CT 64V4C004,10,STM64,Level 3,BBWG6292,"Los Angeles, CA","Menchester, CA",
SHT/CT-SJC/CT 64V4C003,10,STM64,Level 3,BBWG6294,"San Jose, CA","Menchester, CA",
LAX/CT-SHT/CT 64V4C007*TD,10,STM64,Century Link,10GWAN-16730591,Los Ossos ,LA,
SHT/CT-SJC/CT 64V4C007*TD,10,STM64,Century Link,10GWAN-16730681,Los Ossos ,SJC,
SHT/CT-SJC/CT 64V4C008*TD,10,STM64,Century Link,10GWAN-16730683,Los Ossos ,SJC,
LAX/CTUSA-SJC/CTUSA 64V4C005(OTU-2)*TD,10,STM64,Century Link,"OC192-16784354,OTU2-16938424-DIV",LA,SJC,
LAX/CT-SHT/CT 64V4C008*TD,10,STM64,Century Link,10GWAN-16730676,Los Ossos ,LA,
LAX/CT-SHT/CT 64V4C010*TD,10,STM64,Century Link,"OTU2-16787829,10GWAN-16929161 ",Los Ossos ,LA,
LAX/CT-SHT/CT 64V4C011*TD,10,STM64,Century Link,"OTU2-16787831,10GWAN-16928530",Los Ossos ,LA,
HKG/CT-SJC/CT 64V4C006*TD,10,STM64,Century Link,"10GWAN-16730682,10GLAN-16929429",Los Ossos ,SJC,
LAX/CTUSA-SJC/CTUSA 64V4C004(OTU-2)*TD,10,STM64,Century Link,"OC192-16784353,OTU2-16938413-DIV",LA,SJC,
HKG/CT-SJC/CT 64V4C007*TD,10,STM64,Century Link,10GLAN-16732432,Los Ossos ,SJC,
LAX/CT-SHT/CT 64V4C009*TD,10,STM64,Century Link,10GWAN-16730604,Los Ossos ,LA,
SHT/CT-SJC/CT 64V4C006*TD,10,STM64,Century Link,10GWAN-16730680,Los Ossos ,SJC,
CHM/CT-SJC/CT 64V4C011*TD,10,STM64,AT&T,TS.IXES.612386.ATI,"Manchester, CA",SJC,
CHM/CT-SJC/CT 64V4C012*TD,10,STM64,AT&T,TS.IXES.612387.ATI,"Manchester, CA",SJC,
CHM/CT-SJC/CT 64V4C013*TD,10,STM64,AT&T,TS.IXES.612388.ATI,"Manchester, CA",SJC,
CHM/CT-SJC/CT 64V4C014*TD,10,STM64,AT&T,TS.IXES.612389.ATI,"Manchester, CA",SJC,
CHM/CT-SJC/CT 64V4C015*TD,10,STM64,AT&T,TS.IXES.612390.ATI,"Manchester, CA",SJC,
CHM/CT-LAX/CT 64V4C014*TD,10,STM64,AT&T,TS.IXES.612391.ATI,"Manchester, CA",LA,
CHM/CT-LAX/CT 64V4C015*TD,10,STM64,AT&T,TS.IXES.612392.ATI,"Manchester, CA",LA,
CHM/CT-LAX/CT 64V4C016*TD,10,STM64,AT&T,TS.IXES.612393.ATI,"Manchester, CA",LA,
CHM/CT-LAX/CT 64V4C017*TD,10,STM64,AT&T,TS.IXES.612394.ATI,"Manchester, CA",LA,
CHM/CT-LAX/CT 64V4C018*TD,10,STM64,AT&T,TS.IXES.612395.ATI,"Manchester, CA",LA,
HKG/CT-LAX/CT 64V4C001,10,STM64,Century Link,10GWAN-17042395,"Hill, OR","Los Angeles, CA",
BEI/CT-LAX/CTUSA 64V4C004*IP,10,STM64,Century Link,10GWAN-17042399,"Hill, OR","Los Angeles, CA",
BEI/CT-SJC/CT 64V4C005*IP ,10,STM64,Century Link,10GWAN-17042400,"Hill, OR","San Jose, CA",
SJC/CTUSA-SEA/CTUSA 64V4C001,10,STM64,Level 3,BBGK0433 BBKG0442,"San Jose, CA","SEA, WA",
LAX/CTUSA-SJC/CTUSA 64V4C002(W),10,STM64,Century Link,10GWAN-17189053-DIV ,"Los Angeles, CA","San Jose, CA",
LAX/CTUSA-SJC/CTUSA 64V4C002(P),10,STM64,Century Link,10GWAN-17189054-DIV,"Los Angeles, CA","San Jose, CA",
LAX/CTUSA-SJC/CTUSA 64V4C009*TD,10,10GE,Century Link,10GWAN-17189058-DIV,"Los Angeles, CA","San Jose, CA",
LAX/CTUSA-SJC/CTUSA 64V4C007*TD,10,10GE,Century Link,10GWAN-17189061-DIV ,"Los Angeles, CA","San Jose, CA",
LAX/CTUSA-WDC/CTUSA 64V4C002*TD,10,10GE,Century Link,10GWAN-17192460-DIV,"Los Angeles, CA","Ashburn, VA",
LAX/CTUSA-WDC/CTUSA 64V4C003*TD,10,10GE,Century Link,10GWAN-17192463-DIV,"Los Angeles, CA","Ashburn, VA",
MIA/CTUSA-WDC/CTUSA 64V4C002*TD,10,10GE,Century Link,10GWAN-17192466-DIV,"Miami, FL","Ashburn, VA",
MIA/CTUSA-WDC/CTUSA 64V4C002*TD,10,10GE,Century Link,10GWAN-17192465-DIV,"Miami, FL","Los Angeles, CA",
SJC/CTUSA-WDC/CTUSA 64V4C001*TD,10,10GE,Century Link,10GWAN-17192468-DIV,"San Jose, CA","Ashburn, VA",
SJC/CTUSA-WDC/CTUSA 64V4C002*TD,10,10GE,Century Link,"10GWAN-17192469-DIV,OC192-17192469-DIV","San Jose, CA","Ashburn, VA",
LAX/CTUSA-MIA/CTUSA 64V4C003*TD,10,10GE,Century Link,10GWAN-17192464-DIV,"Los Angeles, CA","Miami, FL",
MIA/CTUSA-SJC/CTUSA 64V4C002*TD,10,10GE,Century Link,10GWAN-17192390-DIV,"San Jose, CA","Miami, FL",
NYC/CTUSA-SJC/CTUSA 64V4C002*TD (NYK/CTUSA-SJC/CTUSA 64V4C001),10,10GE,Century Link,10GWAN-17192470,"San Jose, CA","New York, NY",
MIA/CTUSA-NYC/CTUSA 64V4C001*TD,10,STM64,Century Link,10GWAN-17192467,"Miami, FL","New York, NY",
SEA/CTUSA - CHI1/CTUSA 64V4C001,10,STM64,Zayo,OGYX/156417//ZYO,Chicago,"SEA, WA",
NYC/CTUSA-CHI/CTUSA 64V4C001,10,STM64,Level 3,BCVF9702,"New York, NY","Chicago, IL",
NYC/CTUSA-TORONTO/CTUSA 64V4C001*TD,10,10GE,Level 3,442364610,"New York, NY","TOR, ON",
Chicago/CTUSA-Toronto/CTUSA 64V4C001*CN2,10,10GE,Level 3,442364627,Chicago,"TOR, ON",
SJC/CTUSA-CHI/CTUSA 64V4C001 (W),10,STM64,Century Link,10GWAN-17368857-DIV,"San Jose, CA","Chicago, IL",
SJC/CTUSA-CHI/CTUSA 64V4C001 (P),10,STM64,Century Link,10GWAN-17368859-DIV,"San Jose, CA","Chicago, IL",
CHI/CTUSA-SJC/CTUSA 100G001*TD,100,OTU4,Century Link,OTU4-17800928 ,"San Jose, CA","Chicago, IL",CHI-SJC OTN100G-1(IOTNhw)
CHI/CTUSA-NYK/CTUSA 100G001*TD ,100,OTU4,Century Link,OTU4-17801436,"New York, NY","Chicago, IL",CHI-NYC OTN100G-1(IOTNhw)
LAX/CTUSA-WDC/CTUSA 100G001*TD,100,OTU4,Century Link,OTU4-17801550,LA,WDC,
MIA/CTUSA-WDC/CTUSA 100G001*TD,100,OTU4,Teliasonera,IC-315218,WDC,"Miami, FL",WDC-MIA OTN100G-1(IOTNhw)
CHM/CT-LAX/CT 100G001*TD,100,OTU4,Century Link,OTU4-22612637,"Los Angeles, CA",Hillsboro,
CHM/CT-SJC/CT 100G001*TD,100,OTU4,Century Link,OTU4-22614129,"San Jose, CA",Hillsboro,
CHM/CT-SJC/CT 64V4C028*TD,10,STM64,AT&T,TS.IXES.938977.ATI,"Manchester, CA",SJC,
CHM/CT-SJC/CT 64V4C029*TD,10,STM64,AT&T,TS.IXES.938978.ATI,"Manchester, CA",SJC,
SHT/CT-SJC/CT 64V4C029*TD,10,STM64,AT&T,TS.IXES.938981.ATI,"Manchester, CA",SJC,
CHM/CT-SJC/CT 64V4C030*TD,10,STM64,AT&T,TS.IXES.938979.ATI,"Manchester, CA",SJC,
CHM/CT-SJC/CT 64V4C031*TD,10,STM64,AT&T,TS.IXES.938980.ATI,"Manchester, CA",SJC,
LAX-SJC OTN100G-2(IOTNhw),100,OTU4,Century Link,OTU4-22817528 ,"Los Angeles, CA","San Jose, CA",
WDC-SJC OTN100G-1(IOTNhw),100,OTU4,Century Link,OTU4-23532337,"Ashburn, VA","San Jose, CA",
LAX-NYK OTN100G-1(IOTNhw),100,OTU4,Century Link,OTU4-22817532,"New York, NY","Los Angeles, CA",
BEI/CT-SJC/CT 100G001,100,OTU4,Century Link,"ETH100GB-23329447-DIV,Original: OTU4-22831433","San Jose, CA",Hillsboro,
NYK/CTUSA-WDC/CTUSA 100G001*TD,100,OTU4,Zayo,OQYX/141852//ZYO,"Ashburn, VA","New York, NY",WDC-NYC OTN100G-1(IOTNhw)
CHM/CT-LAX/CT 100G002*TD/100G1,100,OTU4,Century Link,OTU4-22831404                               ,"Los Angeles, CA",Hillsboro,
CHM/CT-LAX/CT GE100L001*TD,100,OTU4,Century Link,"ETH100GB-23329322-DIV,Original: OTU4-22831425","Los Angeles, CA",Hillsboro,
QDA/CT-SJC/CT GE100L003*TD,100,OTU4,Century Link,OTU4-22831434               ,"San Jose, CA",Hillsboro,
SHI/CT-LAX/CT 100G002*IP,100,OTU4,Century Link,"ETH100GB-23337140-DIV,Original: OTU4-22831437","Los Angeles, CA",Hillsboro,
HIL-SEA OTN100G-1(IOTNhw),100,OTU4,Zayo,"OQYX/861356//ZYO,OQYX/141836//ZYO","Seattle, WA",Hillsboro,
LAX-MIA OTN100G-1(IOTNhw),100,OTU4,Century Link,OTU4-22817483-DIV,"Los Angeles, CA","Miami, FL",
Qingdao-SJC OTN100G-1(IOTNhw),100,OTU4,Century Link,OTU4-22833641            ,"San Jose, CA",Hillsboro,
CHM/CT-SJC/CT GE100L003*TD,100,OTU4,Century Link,ETH100GB-23121296-DIV,Los Ossos ,SJC,
SHI/CT-SJC/CT 100G003*IP,100,OTU4,Century Link,ETH100GB-23328912-DIV,"Hill, OR",SJC,
